"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Full context"
" ежул йокбяз в ьтунот ен ыботч";"иксот";"чтобы не тонуть в зябкой луже";"тоски";", ";"а наслаждаться сладким дайкири на средиземноморском";"Антон Пайкес. Кансер // «Волга», 2014";"Антон Пайкес";"1989";"Кансер";"2014";"художественная";"повесть";"";"«Волга»";"2014";"журнал";"омонимия не снята";"Ощущая кожей ледяные капли, проклиная всё на свете и эту неожиданную осень, шёл как всегда без зонта и думал о том, как хорошо, наверное, иметь столько денег, чтобы ежегодно улетать в экзотические страны, чтобы не тонуть в зябкой луже тоски, а наслаждаться сладким дайкири на средиземноморском побережье."
" и ахартс то алремаз ьдащолП ";"иксот";"Площадь замерла от страха и";"тоски";". ";"";"Виктор Пелевин. Любовь к трем цукербринам (2014)";"Виктор Пелевин";"1962";"Любовь к трем цукербринам";"2014";"художественная";"роман";"";"Пелевин В. О. Любовь к трем цукербринам";"2014";"книга";"омонимия не снята";"Это выглядело уродливо и страшно, словно она летела обманом, от последствий которого ей тут же приходилось уворачиваться с помощью другого обмана, и так без конца ― но в результате она поднималась все выше и выше.  Площадь замерла от страха и тоски.  В этом полете был задействован какой-то беспощадный принцип, непостижимый для человека, но, без сомнений, настолько могущественный, что противостоять ему было нельзя."
" отч ,мот в олыб олед ,онжомзоВ";"уксот";"Возможно, дело было в том, что";"тоску";" ";"и депрессию в те дни излучала";"Виктор Пелевин. Любовь к трем цукербринам (2014)";"Виктор Пелевин";"1962";"Любовь к трем цукербринам";"2014";"художественная";"роман";"";"Пелевин В. О. Любовь к трем цукербринам";"2014";"книга";"омонимия не снята";"Возможно, дело было в том, что тоску и депрессию в те дни излучала вся «Contra. ru» ― и с такой интенсивностью, что на этом фоне я мог просто не заметить своей сигнальной реакции."
" йонтремсдерп йотэ еноф ан И ";"иксот";"И на фоне этой предсмертной";"тоски";" ";"рифмованные надписи на коре казались уже";"Виктор Пелевин. Любовь к трем цукербринам (2014)";"Виктор Пелевин";"1962";"Любовь к трем цукербринам";"2014";"художественная";"роман";"";"Пелевин В. О. Любовь к трем цукербринам";"2014";"книга";"омонимия не снята";"И на фоне этой предсмертной тоски рифмованные надписи на коре казались уже не шуткой, а письмами какого-то особенно изощренного маньяка, от которого можно ждать чего угодно."
" и мокором мынвендхерт оге с ,аксеп";"йоксот";"песка, с его трехдневным мороком и";"тоской";", ";"с его удушьем в вязком плотном";"Дина Рубина. Русская канарейка. Блудный сын (2014)";"Дина Рубина";"1953";"Русская канарейка. Блудный сын";"2014";"художественная";"роман";"";"Д. И. Рубина. Русская канарейка. Блудный сын";"2015";"книга";"омонимия не снята";"Впоследствии, вспоминая эти минуты, он мысленно произносил: «Хамсин сломался» ― как говорят обычно в Иерусалиме, когда вся тяжесть пустынного ветра с мутной взвесью песка, с его трехдневным мороком и тоской, с его удушьем в вязком плотном воздухе внезапно дрогнет; прогнется и освободит стрелу невидимая тетива, неизвестно откуда потянет налетевшим ветерком."
" йомизарывен в ьсоламижс ецдрес а ,ыссем";"ексот";"мессы, а сердце сжималось в невыразимой";"тоске";" ";"чьего-то вечного плена.";"Дина Рубина. Русская канарейка. Блудный сын (2014)";"Дина Рубина";"1953";"Русская канарейка. Блудный сын";"2014";"художественная";"роман";"";"Д. И. Рубина. Русская канарейка. Блудный сын";"2015";"книга";"омонимия не снята";"Но с первых тактов «Introitus» по-прежнему мороз продирал его по хребту, и распахивалась мертвенная равнина мессы, а сердце сжималось в невыразимой тоске чьего-то вечного плена."
" йонтсоря в ьсяахытреч оннелсым ,амод огонметулоп";"ексот";"полутемного дома, мысленно чертыхаясь в яростной";"тоске";" ";"по фотику: обнаружила пропасть невероятных вещей";"Дина Рубина. Русская канарейка. Блудный сын (2014)";"Дина Рубина";"1953";"Русская канарейка. Блудный сын";"2014";"художественная";"роман";"";"Д. И. Рубина. Русская канарейка. Блудный сын";"2015";"книга";"омонимия не снята";"Пока в гостиной Леон с хозяином обговаривали программу мастер-классов в Королевской академии музыки, Айя отправилась в свободное плавание по всем этажам, лесенкам, аркам-переходам и каморкам полутемного дома, мысленно чертыхаясь в яростной тоске по фотику: обнаружила пропасть невероятных вещей, например, огромную хромую царь-шарманку, расписанную грехами и ужасами в стиле Босха, а также старинный дамский манекен с оторопелым личиком без скальпа и ампутированной выше колена ногой."
" йонщомопсеб йоконидо в адгок ,онваден месвос";"ексот";"совсем недавно, когда в одинокой беспомощной";"тоске";" ";"мысленно обшаривал гигантские пространства в поисках";"Дина Рубина. Русская канарейка. Блудный сын (2014)";"Дина Рубина";"1953";"Русская канарейка. Блудный сын";"2014";"художественная";"роман";"";"Д. И. Рубина. Русская канарейка. Блудный сын";"2015";"книга";"омонимия не снята";"И вновь, как совсем недавно, когда в одинокой беспомощной тоске мысленно обшаривал гигантские пространства в поисках этой глухой бродяжки, Леон чувствовал, что пропал, погиб, нелеп, смешон и связан… И при этом счастлив, как последний дурень."
" то ьсалабигаз ано адгок ― ыдобовс йотэ";"иксот";"этой свободы ― когда она загибалась от";"тоски";" ";"в Бангкоке, а он метался в";"Дина Рубина. Русская канарейка. Блудный сын (2014)";"Дина Рубина";"1953";"Русская канарейка. Блудный сын";"2014";"художественная";"роман";"";"Д. И. Рубина. Русская канарейка. Блудный сын";"2015";"книга";"омонимия не снята";"Будто они оба не нахлебались этой свободы ― когда она загибалась от тоски в Бангкоке, а он метался в поисках ее ― аж до апортовых садов катился!"
" то теариму а ,ястеатссар ен адгокин";"иксот";"никогда не расстается, а умирает от";"тоски";", ";"когда погибает другой?";"Дина Рубина. Русская канарейка. Блудный сын (2014)";"Дина Рубина";"1953";"Русская канарейка. Блудный сын";"2014";"художественная";"роман";"";"Д. И. Рубина. Русская канарейка. Блудный сын";"2015";"книга";"омонимия не снята";"Так вот и стань частным лицом, просто Голосом ― именно тогда, когда ты встретил свою пару: свою голубку, свою лебедицу, свою волчицу ― кто там еще в животном мире никогда не расстается, а умирает от тоски, когда погибает другой?"
" виватсо ,олшу гимв есв ― ,сукв ан";"уксот";"на вкус, ― все вмиг ушло, оставив";"тоску";" ";"и обреченную готовность к беде.";"Дина Рубина. Русская канарейка. Блудный сын (2014)";"Дина Рубина";"1953";"Русская канарейка. Блудный сын";"2014";"художественная";"роман";"";"Д. И. Рубина. Русская канарейка. Блудный сын";"2015";"книга";"омонимия не снята";"Весь солнечный взмыв ее гибкого тела, мягкая кошачья сила полуденной любовной схватки, весенний загар, солоноватый на вкус, ― все вмиг ушло, оставив тоску и обреченную готовность к беде."
" оге йешвишулго онпазенв то яслунсорП ";"иксот";"Проснулся от внезапно оглушившей его";"тоски";" ";"по Владке и такого непереносимого желания";"Дина Рубина. Русская канарейка. Блудный сын (2014)";"Дина Рубина";"1953";"Русская канарейка. Блудный сын";"2014";"художественная";"роман";"";"Д. И. Рубина. Русская канарейка. Блудный сын";"2015";"книга";"омонимия не снята";"Проснулся от внезапно оглушившей его тоски по Владке и такого непереносимого желания ее немедленно увидеть, что даже испугался ― не стряслось ли чего."
" и автсечонидо огонтевсорпсеб ее ыцясем еылбиг";"иксот";"гиблые месяцы ее беспросветного одиночества и";"тоски";" ";"Айя вспоминала дни, прожитые с Леоном";"Дина Рубина. Русская канарейка. Блудный сын (2014)";"Дина Рубина";"1953";"Русская канарейка. Блудный сын";"2014";"художественная";"роман";"";"Д. И. Рубина. Русская канарейка. Блудный сын";"2015";"книга";"омонимия не снята";"В следующие гиблые месяцы ее беспросветного одиночества и тоски Айя вспоминала дни, прожитые с Леоном, как огромную, многоликую и просторную жизнь."
" с ― …ьравт аз ыт отЧ ― ";"йоксот";"― Что ты за тварь… ― с";"тоской";" ";"проговорил Меир, чувствуя, как с новой";"Дина Рубина. Русская канарейка. Блудный сын (2014)";"Дина Рубина";"1953";"Русская канарейка. Блудный сын";"2014";"художественная";"роман";"";"Д. И. Рубина. Русская канарейка. Блудный сын";"2015";"книга";"омонимия не снята";"― Что ты за тварь… ― с тоской проговорил Меир, чувствуя, как с новой силой взмыла боль ― уже не зубная: ноющая, небрежно залеченная боль всей его семейной жизни."
" и евтсечонидо бо ыровогзар йонм ос";"ексот";"со мной разговоры об одиночестве и";"тоске";" ";"по мужчине.";"Александр Снегирев. Черный асфальт, желтые листья // Октябрь, 2014";"Александр Снегирев";"1980";"Черный асфальт, желтые листья";"2014";"художественная";"рассказ";"";"Октябрь";"2014";"журнал";"омонимия не снята";"Вела со мной разговоры об одиночестве и тоске по мужчине."
" алитавхо янем юинедеваз умоннечанзан к хапутсдоп";"аксот";"подступах к назначенному заведению меня охватила";"тоска";". ";"";"Александр Снегирев. Черный асфальт, желтые листья // Октябрь, 2014";"Александр Снегирев";"1980";"Черный асфальт, желтые листья";"2014";"художественная";"рассказ";"";"Октябрь";"2014";"журнал";"омонимия не снята";"На подступах к назначенному заведению меня охватила тоска."
" с ястеатсО ";"юоксот";"Остается с";"тоскою";" ";"думать, каким станет новое всепобеждающее учение";"Максим Соколов. Арьергардные бои // «Эксперт», 2014";"Максим Соколов";"1959";"Арьергардные бои";"2014";"публицистика";"статья";"история | политика и общественная жизнь";"«Эксперт»";"2014";"журнал";"омонимия не снята";"Остается с тоскою думать, каким станет новое всепобеждающее учение, которое, вероятно, окажется еще хуже."
" то адог аротлоп зереч ,итйыв юиснеп";"иксот";"пенсию выйти, через полтора года от";"тоски";" ";"и помер.";"Я. Г. Солонин. Развалы. Схождения // «Волга», 2014";"Я. Г. Солонин";"1988";"Развалы. Схождения";"2014";"художественная";"рассказ";"";"«Волга»";"2014";"журнал";"омонимия не снята";"Дед Ерошка-то, слышал, стоило на пенсию выйти, через полтора года от тоски и помер."
" ан ясьтаволаж »онежолоп ен« маничжум отч";"уксот";"что мужчинам «не положено» жаловаться на";"тоску";" ";"и плохое настроение.";"Григорий Тарасевич. 100 различий между М и Ж // «Русский репортер», 2014";"Григорий Тарасевич";"";"100 различий между М и Ж";"2014";"публицистика";"статья";"биология | наука и технологии | психология";"«Русский репортер»";"2014";"журнал";"омонимия не снята";"Возможно, это связано с тем, что мужчинам «не положено» жаловаться на тоску и плохое настроение."
" могурК ";"аксот";"Кругом";"тоска";", ";"тяжелый труд изо дня в день";"А. М. Титов. В плену у бауэра // «Волга», 2014";"А. М. Титов";"1950";"В плену у бауэра";"2014";"художественная";"рассказ";"";"«Волга»";"2014";"журнал";"омонимия не снята";"Кругом тоска, тяжелый труд изо дня в день: поля, хлев, огород, кухня…"
" ясьтаваддоп и укинап в ьтадапв ничирп";"ексот";"причин впадать в панику и поддаваться";"тоске";". ";"";"Максим Тихомиров. Национальная демография (2014)";"Максим Тихомиров";"";"Национальная демография";"2014";"художественная";"рассказ";"";"Новогодний Дозор: Лучшая фантастика 2014";"2014";"книга";"омонимия не снята";"― Нет причин впадать в панику и поддаваться тоске."
" литущо ьтяпо ротва )икчывак ьседз ил";"уксот";"ли здесь кавычки) автор опять ощутил";"тоску";" ";"одиночества, а я, грешный, простое человеческое";"С. И. Трунев. От улыбающейся сковородки до пятиглавого декаданса // «Волга», 2014";"С. И. Трунев";"1973";"От улыбающейся сковородки до пятиглавого декаданса";"2014";"нехудожественная | публицистика";"рецензия";"искусство и культура";"«Волга»";"2014";"журнал";"омонимия не снята";"Потом как по накатанному: «спасибо» фотоаппарату, диалог с мертвыми мамой и бабушкой и много еще чего, столь же бессмысленного и беспощадного… Короче, когда квартиранты, наконец, съехали (не знаю, нужны ли здесь кавычки) автор опять ощутил тоску одиночества, а я, грешный, простое человеческое счастье."
" йонвыбзиен еыннещысан ,огонтовиЖ и акеволеЧ йинешонтоомиазв";"йоксот";"взаимоотношений Человека и Животного, насыщенные неизбывной";"тоской";", ";"бесхитростными размышлениями о смысле жизни, а";"С. И. Трунев. От улыбающейся сковородки до пятиглавого декаданса // «Волга», 2014";"С. И. Трунев";"1973";"От улыбающейся сковородки до пятиглавого декаданса";"2014";"нехудожественная | публицистика";"рецензия";"искусство и культура";"«Волга»";"2014";"журнал";"омонимия не снята";"Практически все рассказы содержат описания умилительных взаимоотношений Человека и Животного, насыщенные неизбывной тоской, бесхитростными размышлениями о смысле жизни, а также слюнявыми монологами и диалогами."
" с ыб хосаз но енверед В";"иксот";"В деревне он засох бы с";"тоски";". ";"";"Михаил Тырин. «Будет немножечко больно» (2014)";"Михаил Тырин";"";"«Будет немножечко больно»";"2014";"художественная";"рассказ";"";"Новогодний Дозор: Лучшая фантастика 2014";"2014";"книга";"омонимия не снята";"В деревне он засох бы с тоски."
" яаньлетизнорп яакат алитавхо оге ,зар йылшорп";"аксот";"прошлый раз, его охватила такая пронзительная";"тоска";", ";"что захотелось забиться в угол и";"Михаил Тырин. «Будет немножечко больно» (2014)";"Михаил Тырин";"";"«Будет немножечко больно»";"2014";"художественная";"рассказ";"";"Новогодний Дозор: Лучшая фантастика 2014";"2014";"книга";"омонимия не снята";"И снова, как и в прошлый раз, его охватила такая пронзительная тоска, что захотелось забиться в угол и зарыдать во весь голос."
" ,илоб ,яинадартс то еыннелвиркси ,ацил еищюагуп";"иксот";"пугающие лица, искривленные от страдания, боли,";"тоски";". ";"";"Михаил Тырин. «Будет немножечко больно» (2014)";"Михаил Тырин";"";"«Будет немножечко больно»";"2014";"художественная";"рассказ";"";"Новогодний Дозор: Лучшая фантастика 2014";"2014";"книга";"омонимия не снята";"У всех были пугающие лица, искривленные от страдания, боли, тоски."
" окьлотс олыб хазалг оге В ";"иксот";"В его глазах было столько";"тоски";" ";"и усталости, сколько хватило бы на";"Михаил Тырин. «Будет немножечко больно» (2014)";"Михаил Тырин";"";"«Будет немножечко больно»";"2014";"художественная";"рассказ";"";"Новогодний Дозор: Лучшая фантастика 2014";"2014";"книга";"омонимия не снята";"В его глазах было столько тоски и усталости, сколько хватило бы на десять жизней."
" яаньлетремс как ,уткепсорп умоксдаргоглоВ оп яслунят";"аксот";"тянулся по Волгоградскому проспекту, как смертельная";"тоска";". ";"";"В. А. Харченко. Шахматист // «Волга», 2014";"В. А. Харченко";"1971";"Шахматист";"2014";"художественная";"рассказ";"";"«Волга»";"2014";"журнал";"омонимия не снята";"На частых остановках в плотный салон вваливался холодный бодрящий воздух, и казалось, что мы никогда не приедем, потому что троллейбус медленно тянулся по Волгоградскому проспекту, как смертельная тоска."
"« и »утоншот« оннеми а ,автсвуч еывилгзерб";"уксот";"брезгливые чувства, а именно «тошноту» и «";"тоску";"» (";"так по тексту рассказа «После бала";"И. М. Чубаров. Коллективная чувственность: теории и практики левого авангарда (2014)";"И. М. Чубаров";"1965";"Коллективная чувственность: теории и практики левого авангарда";"2014";"учебно-научная";"монография";"культурология | наука и технологии | философия";"И. М. Чубаров. Коллективная чувственность: теории и практики левого авангарда";"2014";"книга";"омонимия не снята";"Поэтому лично травмирующее его (или даже его брата Сергея ― ведь это чуть ли не «случай из жизни») зрелище насилия способно было вызвать в его персонаже лишь некие брезгливые чувства, а именно «тошноту» и «тоску» (так по тексту рассказа «После бала») и моральное осуждение палачей."
" и автсечонидо еноф ан »рамшок йыньламроф";"иксот";"формальный кошмар» на фоне одиночества и";"тоски";" ";"по жене.";"И. М. Чубаров. Коллективная чувственность: теории и практики левого авангарда (2014)";"И. М. Чубаров";"1965";"Коллективная чувственность: теории и практики левого авангарда";"2014";"учебно-научная";"монография";"культурология | наука и технологии | философия";"И. М. Чубаров. Коллективная чувственность: теории и практики левого авангарда";"2014";"книга";"омонимия не снята";"149 Эта версия событий опирается на единственное свидетельство Плато-нова в письме жене (тамбовского периода), где он в поэтической форме описывает достаточно распространенное среди литераторов раздвоение личности, но сам же квалифицирует его как «формальный кошмар» на фоне одиночества и тоски по жене."
" ,юьтсежят есуботва мещялип в ьсолинемс )лавокап";"йоксот";"паковал) сменилось в пилящем автобусе тяжестью,";"тоской";". ";"";"В. М. Шапко. Один день перед поездкой в Бирск // «Волга», 2014";"В. М. Шапко";"1938";"Один день перед поездкой в Бирск";"2014";"художественная";"рассказ";"";"«Волга»";"2014";"журнал";"омонимия не снята";"Как всегда, истерически приподнятое настроение перед поездкой (бегал по магазинам, накупал продуктов, торопился, дома складывал, паковал) сменилось в пилящем автобусе тяжестью, тоской."
" С ";"йоксот";"С";"тоской";" ";"смотрел за поля вдаль.";"В. М. Шапко. Один день перед поездкой в Бирск // «Волга», 2014";"В. М. Шапко";"1938";"Один день перед поездкой в Бирск";"2014";"художественная";"рассказ";"";"«Волга»";"2014";"журнал";"омонимия не снята";"Побросав сумки, не обращая внимания на скачущий рюкзак, Константин Иванович раскинулся, вцепившись левой рукой в штангу, а правой за спинку сиденья.  С тоской смотрел за поля вдаль.  Хоть там не трясло."
" яаньлемхоп яащутенг оготэ удивВ ";"аксот";"Ввиду этого гнетущая похмельная";"тоска";", ";"не усугубленная заботами о выпивке, доставляла";"Сергей Шикера. Выбор натуры // «Волга», 2014";"Сергей Шикера";"1957";"Выбор натуры";"2014";"художественная";"роман";"";"«Волга»";"2014";"журнал";"омонимия не снята";"Ввиду этого гнетущая похмельная тоска, не усугубленная заботами о выпивке, доставляла странное побочное удовольствие, а в невольных беззвучных подвываниях далекому маяку-ревуну было еще и какое-то теплое неясное злорадство."
" йомипретсен йокид мотакан ясьтавичалпсар ьсолидохирп яьлесев";"иксот";"веселья приходилось расплачиваться накатом дикой нестерпимой";"тоски";". ";"";"Сергей Шикера. Выбор натуры // «Волга», 2014";"Сергей Шикера";"1957";"Выбор натуры";"2014";"художественная";"роман";"";"«Волга»";"2014";"журнал";"омонимия не снята";"За такие всплески беспричинного веселья приходилось расплачиваться накатом дикой нестерпимой тоски."
" с и веараС лидревтдоп ― ";"йоксот";"― подтвердил Сараев и с";"тоской";" ";"подумал: «Ну вот зачем я здесь?»";"Сергей Шикера. Выбор натуры // «Волга», 2014";"Сергей Шикера";"1957";"Выбор натуры";"2014";"художественная";"роман";"";"«Волга»";"2014";"журнал";"омонимия не снята";"― подтвердил Сараев и с тоской подумал: «Ну вот зачем я здесь?»"
" путсирп йиншерепет и отч ,яслагупси веараС";"иксот";"Сараев испугался, что и теперешний приступ";"тоски";" ";"может толкнуть его на какое-то безрассудство.";"Сергей Шикера. Выбор натуры // «Волга», 2014";"Сергей Шикера";"1957";"Выбор натуры";"2014";"художественная";"роман";"";"«Волга»";"2014";"журнал";"омонимия не снята";"Сараев испугался, что и теперешний приступ тоски может толкнуть его на какое-то безрассудство."
" илавеван ,торобоан ,ьрепет ,яинеживд огонтсодар огонвырерпен";"уксот";"непрерывного радостного движения, теперь, наоборот, навевали";"тоску";". ";"";"Сергей Шикера. Выбор натуры // «Волга», 2014";"Сергей Шикера";"1957";"Выбор натуры";"2014";"художественная";"роман";"";"«Волга»";"2014";"журнал";"омонимия не снята";"На балконе под ветром скрипели деревянные стойки и перекладины навеса, хлопало вывешенное тряпье, постукивали о прутья перил листы фанеры, и звуки эти, так нравившиеся Сараеву весной и летом, создававшие иллюзию непрерывного радостного движения, теперь, наоборот, навевали тоску."
" с ― »…икат-ёсв еж гЮ ";"йоксот";"Юг же всё-таки…» ― с";"тоской";" ";"подумал Сараев, окинув взглядом темное бескрайнее";"Сергей Шикера. Выбор натуры // «Волга», 2014";"Сергей Шикера";"1957";"Выбор натуры";"2014";"художественная";"роман";"";"«Волга»";"2014";"журнал";"омонимия не снята";"Юг же всё-таки…» ― с тоской подумал Сараев, окинув взглядом темное бескрайнее небо, и пошел пешком."
" с ано и ,йохуратс ее теавызан";"йоксот";"называет ее старухой, и она с";"тоской";" ";"осознает, что в сорок два и";"Александр Щеголев. Черная сторона зеркала (2014)";"Александр Щеголев";"";"Черная сторона зеркала";"2014";"художественная";"рассказ";"";"Новогодний Дозор: Лучшая фантастика 2014";"2014";"книга";"омонимия не снята";"Как на сорок два ей звонит некий Юрий Михайлович, трусливое и завистливое ничтожество, называет ее старухой, и она с тоской осознает, что в сорок два и впрямь можно быть старухой…"
" ылертс и илетатичоп еикилев ино оби";"иксот";"ибо они великие почитатели и стрелы";"тоски";" ";"по другому берегу».";"Михаил Эпштейн. О философских чувствах и действиях // «Знание-сила», 2014";"Михаил Эпштейн";"1950";"О философских чувствах и действиях";"2014";"публицистика";"статья";"философия";"«Знание-сила»";"2014";"журнал";"омонимия не снята";"Я люблю великих ненавистников, ибо они великие почитатели и стрелы тоски по другому берегу»."
"« итус йеовс оп йоньлаицнетоп яинещарверп ьтсонжомзов";"иксот";"возможность превращения потенциальной по своей сути «";"тоски";" ";"по мировой культуре» в радость её";"Александр Вергелис. Двадцатый век: портрет в прозе (2012-2014) // «Стороны света», 2014";"Александр Вергелис";"1977";"Двадцатый век: портрет в прозе";"2012-2014";"нехудожественная | публицистика";"рецензия";"искусство и культура";"«Стороны света»";"2014";"журнал";"омонимия не снята";"Знание нескольких европейских языков, преподавание литературы в немецких университетах, постоянные перемещения по городам Старого Света, всё это — счастливая возможность превращения потенциальной по своей сути «тоски по мировой культуре» в радость её непосредственного обретения."
"«( иидолем еикьрог отсич или еикдалс-окьрог";"аксот";"горько-сладкие или чисто горькие мелодии («";"тоска";" ";"дорожная, железная» Блока, «крик станций» Цветаевой";"Лиля Панн. После. О поэзии Олега Вулфа (2011-2014) // «Стороны света», 2014";"Лиля Панн";"1945";"После. О поэзии Олега Вулфа";"2011-2014";"нехудожественная | публицистика";"статья";"искусство и культура";"«Стороны света»";"2014";"журнал";"омонимия не снята";"«Вокзал, несгораемый ящик разлук моих, встреч и разлук» Пастернака, «рассвет на рельсах» Цветаевой, «путевой обходчик, во всей степи один с огнём» Тарковского и многие, многие другие горько-сладкие или чисто горькие мелодии («тоска дорожная, железная» Блока, «крик станций» Цветаевой) озвучивают во времена цветения «железки» изменившееся пространство-время ещё недавно пешеходно-лошадного человека."
" юукаТ ";"уксот";"Такую";"тоску";" ";"наводит, что там испытали люди…";"Алиса Селезнева. Записка в патроне (2013.05.17) // «Новгородские ведомости», 2013";"Алиса Селезнева";"";"Записка в патроне";"2013.05.17";"нехудожественная | публицистика";"заметка";"армия и вооруженные конфликты | история | частная жизнь";"«Новгородские ведомости»";"2013";"газета";"омонимия не снята";"Такую тоску наводит, что там испытали люди…"
" йеннесо и джедо хикгел ,адас молпет";"йоксот";"теплом сада, легких одежд и осенней";"тоской";" ";"звонков, отдающихся в памяти, и последним";"Виктор Iванiв. Тетракнижие пения // «Волга», 2013";"Виктор Iванiв";"1977";"Тетракнижие пения";"2013";"нехудожественная | публицистика";"рецензия";"искусство и культура";"«Волга»";"2013";"журнал";"омонимия не снята";"Это голос невидимого присутствия ― которое возможно только при самом полном отречении от себя, ― тогда живыми становятся и снежные девы, и невидимые духи, зажигаются огни и светильники, весна разбивает смертные оковы, лето полно телесным и кажущимся съедобным теплом сада, легких одежд и осенней тоской звонков, отдающихся в памяти, и последним напряжением чувств."
" ";"аксоТ";"";"Тоска";" ";"об идеале осталась… Советских людей я";"Светлана Алексиевич. Время second-hand // «Дружба народов», 2013";"Светлана Алексиевич";"1948";"Время second-hand";"2013";"художественная";"повесть";"";"«Дружба народов»";"2013";"журнал";"омонимия не снята";"Тоска об идеале осталась… Советских людей я бы разделила на четыре поколения: сталинское, хрущевское, брежневское и горбачевское."
" теаксупто ябеТ ";"аксот";"Тебя отпускает";"тоска";"… ";"Ты уже не один… Ты обнаруживаешь";"Светлана Алексиевич. Время second-hand // «Дружба народов», 2013";"Светлана Алексиевич";"1948";"Время second-hand";"2013";"художественная";"повесть";"";"«Дружба народов»";"2013";"журнал";"омонимия не снята";"Тебя отпускает тоска… Ты уже не один… Ты обнаруживаешь вдруг свое тело… руки, губы… обнаруживаешь за окном небо и деревья, почему-то все близко-близко, до тесноты приблизилось к тебе."
" йеьчабос жу месвос ястюьлан афаР азалг";"йоксот";"глаза Рафа нальются совсем уж собачьей";"тоской";", ";"сухой, даже волчьей, острой, пустынной, хотя";"К. В. Арутюнова. Побег // «Волга», 2013";"К. В. Арутюнова";"1963";"Побег";"2013";"художественная";"рассказ";"";"«Волга»";"2013";"журнал";"омонимия не снята";"И грустные глаза Рафа нальются совсем уж собачьей тоской, сухой, даже волчьей, острой, пустынной, хотя как знать, возможно, разросшийся загривок прибавит вальяжности и чувственной влаги."
" ен ,виторпан ,еж обиЛ ";"йоксот";"Либо же, напротив, не";"тоской";", ";"а жизнелюбием, которое дается не просто";"К. В. Арутюнова. Побег // «Волга», 2013";"К. В. Арутюнова";"1963";"Побег";"2013";"художественная";"рассказ";"";"«Волга»";"2013";"журнал";"омонимия не снята";"Либо же, напротив, не тоской, а жизнелюбием, которое дается не просто, а в результате многократных поражений и потерь, бесконечных сделок, соглашательств, компромиссов и примирений, ― с миром, с ближними, дальними, с самим собой, наконец."
" йоньлигом тенхап ен ,ынревкс и яитыбен";"йоксот";"небытия и скверны, не пахнет могильной";"тоской";", ― ";"ведь кладбище уходит в море, ― оно";"К. В. Арутюнова. У камней есть время (2013) // «Волга», 2015";"К. В. Арутюнова";"1963";"У камней есть время";"2013";"художественная";"рассказ";"";"«Волга»";"2015";"журнал";"омонимия не снята";"Сюда приходят, чтобы остаться, ― вот эта скамья напротив кладбища приглашает к уединению, ― посреди ухоженных, ― так и просится слово ― «уютных» надгробий, ― торжество белого, и детские голоса, и нет отстраненной почтительности на лицах входящих и выходящих, ― нет ужаса небытия и скверны, не пахнет могильной тоской, ― ведь кладбище уходит в море, ― оно похоже на нарядный корабль, пассажиры которого готовы к бесконечному путешествию, и оставшиеся на берегу машут им вслед, ― ведь придет час, и они тоже отправятся в путь, туда, где синяя пелена на горизонте будто занавес, приоткрывающий вход в иные миры."
